3342,"MOLETOM IPA GOOS PRETO GG",160,tipo,
3343,"DL GROWLER RIBEIRAO LAGER",25,tipo,
3344,"GROWLER WEISS DO CHEFE ML",35,tipo,
3345,"CAMISETA B COUNTY FEM GG",65,tipo,
3346,"CAMISETA B COUNTY GAR GG",70,tipo,
3347,"CAMISETA B COUNTYMAS GG",70,tipo,
3348,"CAMISETA MASC AZUL LOGO G",70,tipo,
3349,"CAMISETA MASC AZUL LOGO M",70,tipo,
3350,"CAMISETA MASC AZUL LOGO P",70,tipo,
3351,"MOLETOM IPA GOOS PRETO G",160,tipo,
3352,"MOLETOM IPA GOOS PRETO M",160,tipo,
3353,"MOLETOM IPA GOOS PRETO P",160,tipo,
3354,"VINHO FAUSTO MERLOT 187",20,tipo,
3355,"PRINCIPAL OMELETE BRUNCH",0,tipo,
3356,"PRINCIPAL ROSBIFE BRUNCH",0,tipo,
3357,"FLATBREAD ZUCCHINI PESTO",43,tipo,
3358,"GOOS WEISS DO CHEFE 30L ML",300,tipo,
3359,"GOOS WEISS DO CHEFE 50L ML",500,tipo,
3360,"GOOS YELLOW LINE 30L ML",300,tipo,
3361,"GOOS YELLOW LINE 50L ML",500,tipo,
3362,"GROWLER TOWN HALL ALE ML",31.5,tipo,
3363,"THROWBACK THURSDAY 280ML",8,tipo,
3364,"THROWBACK THURSDAY 470ML",16.5,tipo,
3365,"THROWBACK THURSDAY 570ML",20,tipo,
3366,"CAMISETA B COUNTY FEM G",65,tipo,
3367,"CAMISETA B COUNTY FEM M",65,tipo,
3368,"CAMISETA B COUNTY FEM P",65,tipo,
3369,"CAMISETA B COUNTY GAR G",70,tipo,
3370,"CAMISETA B COUNTY GAR M",70,tipo,
3371,"CAMISETA B COUNTY GAR P",70,tipo,
3372,"CAMISETA B COUNTY MAS G",70,tipo,
3373,"CAMISETA B COUNTY MAS M",70,tipo,
3374,"CAMISETA B COUNTY MAS P",70,tipo,
3375,"CAMISETA MASC CHICAGO GG",70,tipo,
3376,"PRINCIPAL MEXIDO BRUNCH",0,tipo,
3377,"PRINCIPAL SALMAO BRUNCH",0,tipo,
3378,"PRINCIPAL TOSTEX BRUNCH",0,tipo,
3379,"PRINCIPAL VEGANA BRUNCH",0,tipo,
3380,"DL ICE TEA PESSEGO ZERO",5.5,tipo,
3381,"ARROZ BACON E COGUMELOS",30,tipo,
3382,"MAIONESE DEFUMADA EXTRA",5,tipo,
3383,"CAMISETA ALTAI GOOS GG",89.99,tipo,
3384,"CAMISETA MASC CHICAGO G",70,tipo,
3385,"CAMISETA MASC CHICAGO M",70,tipo,
3386,"CAMISETA MASC CHICAGO P",70,tipo,
3387,"ENGLISH BOURBON COFFEE",30,tipo,
3388,"MUSHROOWS POTATO SALAD",33,tipo,
3389,"CAMISETA ALTAI GOOS G",89.99,tipo,
3390,"CAMISETA ALTAI GOOS M",89.99,tipo,
3391,"CAMISETA ALTAI GOOS P",89.99,tipo,
3392,"CAMISETA FEM LUPULO GG",65,tipo,
3393,"AMERICAN MUSCLE 280ML",8,tipo,
3394,"AMERICAN MUSCLE 470ML",16.5,tipo,
3395,"AMERICAN MUSCLE 570ML",20,tipo,
3396,"DL GROWLER HOEGAARDEN",40,tipo,
3397,"DL ICE TEA LIMAO ZERO",5.5,tipo,
3398,"DULCE DE LECHE DONUTS",19,tipo,
3399,"FIRE ROASTED GNOCCHIS",46,tipo,
3400,"HAND CUT POTATO FRIES",25,tipo,
3401,"SINGLE WAI ITI 280ML",8,tipo,
3402,"SINGLE WAI ITI 470ML",16.5,tipo,
3403,"SINGLE WAI ITI 570ML",20,tipo,
3404,"MAIONESE WASABI EXTRA",5,tipo,
3405,"TOWN HALL LAGER 280ML",8,tipo,
3406,"TOWN HALL LAGER 470ML",16.5,tipo,
3407,"TOWN HALL LAGER 570ML",20,tipo,
3408,"CAMISETA FEM LUPULO G",65,tipo,
3409,"CAMISETA FEM LUPULO M",65,tipo,
3410,"CAMISETA FEM LUPULO P",65,tipo,
3411,"GROWLER GOOS PEQUENO",35,tipo,
3412,"AMERICAN WHEAT 280ML",10,tipo,
3413,"AMERICAN WHEAT 470ML",16.5,tipo,
3414,"AMERICAN WHEAT 570ML",20,tipo,
3415,"BOURBON COUNTY CHOPP TACA",55,tipo,
3416,"DL MAIONESE DEFUMADA",3,tipo,
3417,"DL GROWLER MIDWAY ML",35,tipo,
3418,"ENGLISH BITTER 280ML",11,tipo,
3419,"ENGLISH BITTER 470ML",18.5,tipo,
3420,"ENGLISH BITTER 570ML",22.5,tipo,
3421,"SORVETE DE CHOCOLATE",16,tipo,
3422,"FLATBREAD MARGUERITA",40,tipo,
3423,"GOOS ALTO LÁ 30L ML",300,tipo,
3424,"GOOS ALTO LÁ 50L ML",500,tipo,
3425,"GOOS BOURBON COUNTY",2730,tipo,
3426,"GOOS PINEY PILS 30L",200,tipo,
3427,"GOOS PINEY PILS 50L",600,tipo,
3428,"BBQ CERVEJEIRO EXTRA",7,tipo,
3429,"DEGUSTACAO MAIONESES",16,tipo,
3430,"WEISS DO CHEFE 280ML",10,tipo,
3431,"WEISS DO CHEFE 470ML",16.5,tipo,
3432,"WEISS DO CHEFE 570ML",20,tipo,
3433,"ABRIDOR PAREDE GOOSE",150,tipo,
3434,"CAMISETA 7/8 MASC GG",80,tipo,
3435,"CAMISETA AZUL FEM GG",65,tipo,
3436,"CAMISETA RAGLAN CINZ",70,tipo,
3437,"CAMISETA RESERVA FEM",75,tipo,
3438,"CAMISETA RESERVA MAS",75,tipo,
3439,"GROWLER GOOS GRANDE",45,tipo,
3440,"KIT MOSTARDA RUSTICA",25,tipo,
3441,"WHISKEY SINGLE BARRE",45,tipo,
3442,"WINDBREAKER ALTAI GO G",339.99,tipo,
3443,"WINDBREAKER ALTAI GO GG",339.99,tipo,
3444,"WINDBREAKER ALTAI GO M",339.99,tipo,
3445,"WINDBREAKER ALTAI GO P",339.99,tipo,
3446,"EXTRA TOAST MEXIDOS",17,tipo,
3447,"EXTRA TOAST OMELETE",17,tipo,
3448,"EXTRA TOAST ROSBIFE",17,tipo,
3449,"SORVETE DE BAUNILHA",16,tipo,
3450,"GOOS PIZZA SAUSAGE",69,tipo,
3451,"GOOS MIDWAY 30L ML",300,tipo,
3452,"GOOS MIDWAY 50L ML",500,tipo,
3453,"LINHA AMARELA 280ML",11,tipo,
3454,"LINHA AMARELA 470ML",18.5,tipo,
3455,"LINHA AMARELA 570ML",22.5,tipo,
3456,"ROAST BEEF SANDWICH",40,tipo,
3457,"SANDUICHE DE PERNIL",22,tipo,
3458,"CHIMICHURRI SAUSAGE",44,tipo,
3459,"GRILLED TUNA TATAKI",43,tipo,
3460,"TOWN HALL ALE 280ML",8,tipo,
3461,"TOWN HALL ALE 470ML",16.5,tipo,
3462,"TOWN HALL ALE 570ML",20,tipo,
3463,"MOLHO PIMENTA EXTRA",0,tipo,
3464,"CAMISETA 7/8 FEM GG",80,tipo,
3465,"CAMISETA 7/8 MASC G",80,tipo,
3466,"CAMISETA 7/8 MASC M",80,tipo,
3467,"CAMISETA 7/8 MASC P",80,tipo,
3468,"CAMISETA AZUL FEM G",65,tipo,
3469,"CAMISETA AZUL FEM M",65,tipo,
3470,"CAMISETA AZUL FEM P",65,tipo,
3471,"CAMISETA BEGE MASC",70,tipo,
3472,"CAMISETA PRETA FEM",65,tipo,
3473,"TACA BOURBON COUNTY",35,tipo,
3474,"EXTRA TOAST SALMAO",24,tipo,
3475,"EXTRA TOAST VEGANA",17,tipo,
3476,"CHOPP DOUBLE 280ML",0,tipo,
3477,"CHOPP DOUBLE 470ML",0,tipo,
3478,"DL ARROZ COM BACON",30,tipo,
3479,"DL CHEESE SANDWICH",30,tipo,
3480,"DL ICE TEA PESSEGO",5.5,tipo,
3481,"HONEY HONKERS CAKE",0,tipo,
3482,"GOOS PIZZA CHEESE",60,tipo,
3483,"GROWLER ALTO LÁ ML",35,tipo,
3484,"GROWLER HOEGAARDEN",40,tipo,
3485,"CHORIPAN BEER SAND",36,tipo,
3486,"VEGETAIS GRELHADOS",25,tipo,
3487,"CAMISETA 7/8 FEM G",80,tipo,
3488,"CAMISETA 7/8 FEM M",80,tipo,
3489,"CAMISETA 7/8 FEM P",80,tipo,
3490,"DL CEBOLA ACERVDA",2,tipo,
3491,"DL CHORIPAN BEER",41,tipo,
3492,"DL CLASSIC BURGER",35,tipo,
3493,"DL DOUBLE BURGUER",34,tipo,
3494,"DL SPECIAL BURGER",35,tipo,
3495,"FLATBREAD SAUSAGE",51,tipo,
3496,"THE CHEFS SPECIAL",98,tipo,
3497,"FOR ME CHILL GARRAFA OW",35,tipo,
3498,"TOSTA DE PASTRAMI",1,tipo,
3499,"SOFIE CHOPP 280ML",14,tipo,
3500,"SOFIE CHOPP 470ML",29,tipo,
3501,"SOFIE CHOPP 570ML",29,tipo,
3502,"CHIMICHURRI EXTRA",5,tipo,
3503,"MOSTARDA ESCURA",5,tipo,
3504,"BONE FELTRO CINZA",70,tipo,
3505,"MEIA ALTAI GOOS",34.99,tipo,
3506,"SOBREMESA BRUNCH",0,tipo,
3507,"DL BURGUER EXTRA",8,tipo,
3508,"DL GROWLER SOFIE",35,tipo,
3509,"DL ICE TEA LIMÃO",5.5,tipo,
3510,"DL SMASH BURGER",23,tipo,
3511,"DL VEGGIE BURGER",40,tipo,
3512,"GOOS IPA 30L ML",240,tipo,
3513,"GOOS IPA 50L ML",500,tipo,
3514,"PINEY PILS 280ML",11,tipo,
3515,"PINEY PILS 470ML",18.5,tipo,
3516,"PINEY PILS 570ML",22.5,tipo,
3517,"BOLINHO BACALHAU",32,tipo,
3518,"SOFIE CHOPP TACA",28,tipo,
3519,"BOLINHA POTATOES",20,tipo,
3520,"MAIONESE TOMILHO EXTRA",5,tipo,
3521,"BUCKET HAT ALTAI",99.99,tipo,
3522,"COPO ANIVERSARIO",20,tipo,
3523,"SORVETE DE CERV",16,tipo,
3524,"DRY AGED BURGER",55,tipo,
3525,"DL AGUA COM GAS",6,tipo,
3526,"DL CHEESEBURGER",30,tipo,
3527,"DL MINAS PADRAO",4,tipo,
3528,"DL GUARANA ZERO",6,tipo,
3529,"DL H20 LIMONETO",6,tipo,
3530,"BAKED PINEAPPLE",17,tipo,
3531,"DOSE JACK HONEY",26,tipo,
3532,"GOOS MARGARITA",28,tipo,
3533,"TABUA ROASTBEEF",44,tipo,
3534,"RED FRUIT SWEET",23,tipo,
3535,"BATATA CATGUAVA",30,tipo,
3536,"DOUBLE BURGUER",53,tipo,
3537,"DL ANGUS STEAK",70,tipo,
3538,"DL BRAHMA ZERO",8,tipo,
3539,"DL DUCK BURGER",40,tipo,
3540,"DL TONICA ZERO",6,tipo,
3541,"ASSADO DE TIRA",80,tipo,
3542,"FISH AND CHIPS",65,tipo,
3543,"GROWLER SOFIE",57.5,tipo,
3544,"PUDIM DE LEITE",11,tipo,
3545,"SUSPIRO LIMENO",12,tipo,
3546,"PORTA COPO C/4",30,tipo,
3547,"CATCHUP GOIABA",5,tipo,
3548,"MAC AND CHEESE",20,tipo,
3549,"MAIONESE CLASSICA EXTRA",5,tipo,
3550,"YELLOW GIN HOP",32,tipo,
3551,"CANECA OKTOBER",30,tipo,
3552,"ALTO LÁ 280ML",8,tipo,
3553,"ALTO LÁ 470ML",16.5,tipo,
3554,"ALTO LÁ 570ML",20,tipo,
3555,"EXTRA IOGURTE",21,tipo,
3556,"DL GIN TONICA",68,tipo,
3557,"DL GOOS IPA",22,tipo,
3558,"DL PAO DE MEL",10,tipo,
3559,"DL PEPSI ZERO",6,tipo,
3560,"BEER BBQ RIBS",69,tipo,
3561,"ARROZ DE PATO",1,tipo,
3562,"BROWNIE BELGA",1,tipo,
3563,"CHICKEN WINGS",35,tipo,
3564,"CRUNCH CRUNCH",51,tipo,
3565,"MINI RIB BUNS",53,tipo,
3566,"REGUA CLASSIC ML",35,tipo,
3567,"REGUA SPECIAL ML",45,tipo,
3568,"SOFIE BELLINE",28,tipo,
3569,"MIX DE SALADA",15,tipo,
3570,"EXTRA TOSTEX",17,tipo,
3571,"PINT IOGURTE",0,tipo,
3572,COSMOPOLITAN,25,tipo,
3573,"DL APPLE PIE",21,tipo,
3574,"DL MANHATTAN",72,tipo,
3575,"DL SOFIE 355",32,tipo,
3576,"DOSE CACHACA",16,tipo,
3577,"DOSE TEQUILA",20,tipo,
3578,"MIDWAY 280ML",11.5,tipo,
3579,"MIDWAY 470ML",20,tipo,
3580,"MIDWAY 570ML",24,tipo,
3581,"CAESAR SALAD",30,tipo,
3582,"STEAK TARTAR",38,tipo,
3583,"RABO DE GALO",25,tipo,
3584,"SUCO LARANJA",8,tipo,
